#r		P		D
            6.37  0.0241794035759  -0.049736909305
            6.38  0.0236828145753 -0.0495812537236
            6.39  0.0231877785095 -0.0494263202294
             6.4  0.0226942881787 -0.0492721046562
            6.41  0.0222023364243 -0.0491186028619
            6.42  0.0217119161293 -0.0489658107275
            6.43  0.0212230202176 -0.0488137241577
            6.44   0.020735641654 -0.0486623390805
            6.45  0.0202497734438 -0.0485116514469
            6.46  0.0197654086328 -0.0483616572311
            6.47  0.0192825403068 -0.0482123524302
            6.48  0.0188011615918 -0.0480637330642
            6.49  0.0183212656531 -0.0479157951757
             6.5  0.0178428456958   -0.04776853483
            6.51   0.017365894964 -0.0476219481146
            6.52   0.016890406741 -0.0474760311396
            6.53  0.0164163743486 -0.0473307800373
            6.54  0.0159437911476 -0.0471861909621
            6.55  0.0154726505367 -0.0470422600902
            6.56   0.015002945953 -0.0468989836198
            6.57  0.0145346708715  -0.046756357771
            6.58  0.0140678188048 -0.0466143787853
            6.59  0.0136023833029 -0.0464730429258
             6.6  0.0131383579533 -0.0463323464771
            6.61  0.0126757363804 -0.0461922857449
            6.62  0.0122145122454 -0.0460528570562
            6.63  0.0117546792462 -0.0459140567591
            6.64  0.0112962311171 -0.0457758812224
            6.65  0.0108391616287  -0.045638326836
            6.66  0.0103834645872 -0.0455013900104
            6.67 0.00992913383522 -0.0453650671767
            6.68 0.00947616325045 -0.0452293547864
            6.69 0.00902454674619 -0.0450942493116
             6.7 0.00857427827087 -0.0449597472443
            6.71 0.00812535180792 -0.0448258450969
            6.72 0.00767776137551  -0.044692539402
            6.73 0.00723150102641 -0.0445598267116
            6.74 0.00678656484776  -0.044427703598
            6.75  0.0063429469609  -0.044296166653
            6.76 0.00590064152111  -0.044165212488
            6.77 0.00545964271751 -0.0440348377339
            6.78 0.00501994477276  -0.043905039041
            6.79 0.00458154194298 -0.0437758130787
